Source;Table;HumanReadableName;VariableName;IsPrimaryKey;TableReference;VariableReference;IsMandatory;PrimitiveDataType;FHIRPrimitiveType;ValueRestriction;ValueRestrictionType;Description;
ARIA-eclipse/Hix Chipsoft;FOLLOW-UP;Patient ID;GEN_IDNUMBER;TRUE;GEN_PATIENT;GEN_IDNUMBER;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;First name;FIRST_NAME;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Last name;LAST_NAME;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Birth Date;BIRTH_DATE;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Hospital Name;HOSPITAL_NAME;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Signing Physician;SIGN_PHYS;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Referral hospital name;REFERRAL_HOSPITAL_NAME;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Document Date;DOCUMENT_DATE;FALSE;GEN_PATIENT;;TRUE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Document Version;DOCUMENT_VERSION;FALSE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Regional recurrence;BRTUM_REGIO_REC;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;If YES, date of regional recurrence;BRTUM_DATE_REGIOREC;FALSE;BR;;FALSE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Distant metastases;BRTUM_DIST_METS;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;If YES, date of distant metastases;BRTUM_DATE_DISTMETS;FALSE;BR;;FALSE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Postoperative multi-disciplinary team meeting;BR_MDT_POST;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Preoperative multi-disciplinary team meeting;BR_MDT_PREOP;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Was cancer found in screening?;BR_SCR;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Is patient receiving palliative treatment?;BR_TR_INTENT;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Is patient enrolled in registred trial?;BR_PAT_CL_TR;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;Progesteron receptor;PROGESTERON_RECEPTOR;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);FOLLOW-UP;MIBl;MIBL_MIBL;FALSE;BR;;FALSE;string;string;;;NA;
