Source;Table;HumanReadableName;VariableName;IsPrimaryKey;TableReference;VariableReference;IsMandatory;PrimitiveDataType;FHIRPrimitiveType;ValueRestriction;ValueRestrictionType;Description;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Patient ID;GEN_IDNUMBER;TRUE;GEN_PATIENT;GEN_IDNUMBER;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Table Identifier;TABLE_IDENTIFIER;TRUE;GEN_PATIENT;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Number of involved nodes;BR_BL_NODES_INVOLV;FALSE;BR;;TRUE;double;decimal;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Conclusion lymph node mapping;BR_BL_NODES_MAP;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date of diagnosis invasive / insitu component;BR_BL_DATE_DIAG;FALSE;BR;;TRUE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Histology invasive breast cancer;BR_BL_INV_HISTO;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Size invasive component on pathology;BR_BL_IVN_SIZE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Tumour location;BR_BL_TUM_LOC;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Grade of differentiation invasive cancer;BR_BL_INV_GRADE_DIFF;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Minimal resection margins invasive breast cancer;BR_BL_MIN_RES_MARG_INV;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Progesterone receptor;BR_BL_PROGESTRONE;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Oestrogen receptor;BR_BL_OESTROGEN;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;HER2 receptor;BR_BL_HER2;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Histology in situ component;BR_BL_SITU_HISTO;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Grade of differentiation in situ component;BR_BL_SITU_GRADE_DIFF;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Size of DCIS at pathology;BR_BL_SIZE_DCIS;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Minimal resection margins non invasive;BR_BL_RES_MARG_SITU;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;pT-stage;BR_BL_PTSTAGE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;ypT-stage;BR_BL_YPTSTAGE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;pN-stage;BR_BL_PNSTAGE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;ypN-stage;BR_BL_YPNSTAGE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;pM-stage;BR_BL_PMSTAGE;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Neoadjuvant chemotherapy;BR_CHEMO;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start neoadjuvant chemotherapy;BR_CHEMO_START_DATE;FALSE;BR;;TRUE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Adjuvant chemotherapy;BR_CHEMO_ADJ;FALSE;BR;;TRUE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start adjuvant chemotherapy;BR_CHEMO_ADJ_START_DATE;FALSE;BR;;TRUE;date;Date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Neoadjuvant endocrine therapy;BR_END_TR;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start neoadjuvant endocrine therapy;BR_END_TR_DATE;FALSE;BR;;FALSE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Adjuvant endocrine therapy;BR_END_TR_ADJ;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start adjuvant endocrine therapy;BR_END_TR_ADJ_DATE;FALSE;BR;;FALSE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Neoadjuvant anti HER2 therapy;BR_HER2_ADJ;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start neoadjuvant anti HER2 therapy;BR_HER2_ADJ_DATE;FALSE;BR;;FALSE;date;date;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Adjuvant anti HER2 therapy;BR_ANTI_HER2_ADJ;FALSE;BR;;FALSE;string;string;;;NA;
Hix-Chipsoft (MAASTRO's EHR system);Polikliniek eerste consult;Date start adjuvant anti HER2 therapy;BR_ANTI_HER2_ADJ_DATE;FALSE;BR;;FALSE;date;date;;;NA;
